drop_file,member_path,member_size,member_crc32,member_modified,member_ext,topic_guess,file_class,disposition
Kimi_Agent_Defendable Swarm Research Repo.zip,00_EXECUTIVE_MEMO.md,11924,2745d273,2026-05-25T03:39:48,.md,misc,draft_report,REVIEW
Kimi_Agent_Defendable Swarm Research Repo.zip,01_DEFENDABLE_ONTOLOGY.md,125332,87f76982,2026-05-25T03:03:16,.md,ontology_vocab,draft_report,INGEST
Kimi_Agent_Defendable Swarm Research Repo.zip,02_SOURCE_REGISTRY.csv,68307,ba507c12,2026-05-25T02:59:50,.csv,misc,structured_data,REVIEW
Kimi_Agent_Defendable Swarm Research Repo.zip,03_SOURCE_RANKING_AND_ACQUISITION_PLAN.md,34015,4471c070,2026-05-25T03:04:36,.md,misc,draft_report,REVIEW
Kimi_Agent_Defendable Swarm Research Repo.zip,04_CORPUS_SCHEMA.json,22742,b75ac0fe,2026-05-25T02:52:08,.json,corpus_seed,structured_data,INGEST
Kimi_Agent_Defendable Swarm Research Repo.zip,05_REAL_SEED_CORPUS.jsonl,631152,4d5cb2ea,2026-05-25T03:35:44,.jsonl,corpus_seed,structured_data,INGEST
Kimi_Agent_Defendable Swarm Research Repo.zip,06_DEFENSE_FIXER_LIBRARY.jsonl,175803,7cd6aa57,2026-05-25T03:04:54,.jsonl,fixer_repair,structured_data,INGEST
Kimi_Agent_Defendable Swarm Research Repo.zip,07_SWARMCURATOR_EVAL_PACK.jsonl,362343,e99b13c5,2026-05-25T03:29:58,.jsonl,corpus_seed,structured_data,INGEST
Kimi_Agent_Defendable Swarm Research Repo.zip,08_SWARMJELLY_FAILURE_PACK.jsonl,299860,a7678da1,2026-05-25T03:30:00,.jsonl,corpus_seed,structured_data,INGEST
Kimi_Agent_Defendable Swarm Research Repo.zip,09_STREETCHAT_SIGNAL_POLICY.md,62995,a3c7a73a,2026-05-25T03:10:14,.md,streetchat_signal,draft_report,INGEST
Kimi_Agent_Defendable Swarm Research Repo.zip,10_DEFENDABLE_LEDGER_MANIFEST.json,14488,c8c6f84b,2026-05-25T03:40:32,.json,manifest_ledger,structured_data,INGEST
Kimi_Agent_Defendable Swarm Research Repo.zip,11_PRODUCT_AND_AGENT_OPPORTUNITY_MAP.md,65764,5c7e361a,2026-05-25T03:16:14,.md,product_strategy,draft_report,INGEST
Kimi_Agent_Defendable Swarm Research Repo.zip,12_RESEARCH_GAPS_AND_NEXT_RUN.md,38931,17331444,2026-05-25T03:19:52,.md,strategy_planning,draft_report,INGEST
Kimi_Agent_Defendable Swarm Research Repo.zip,PUSH_GUIDE.md,3141,8125cb25,2026-05-25T03:53:54,.md,meta_readme,draft_report,REVIEW
Kimi_Agent_Defendable Swarm Research Repo.zip,README.md,18564,9add1b3b,2026-05-25T03:49:24,.md,meta_readme,draft_report,REVIEW
Kimi_Agent_Defendable Swarm Research Repo.zip,defendableos-swarm-research.bundle,554233,dc58adc3,2026-05-25T03:53:54,.bundle,repo_bundle,archive_or_bundle,ARCHIVE
Kimi_Agent_Defendable Swarm Research Repo.zip,defendableos-swarm-research.tar.gz,1237674,9d43eba7,2026-05-25T03:53:54,.gz,repo_bundle,archive_or_bundle,ARCHIVE
Kimi_Agent_Defendable Swarm Research Repo.zip,research/defendable_dim01_consumer_financial.md,55110,5d9a4274,2026-05-25T03:49:24,.md,dimension_research,draft_report,INGEST
Kimi_Agent_Defendable Swarm Research Repo.zip,research/defendable_dim02_fraud_digital.md,49882,9246f86e,2026-05-25T03:49:24,.md,dimension_research,draft_report,INGEST
Kimi_Agent_Defendable Swarm Research Repo.zip,research/defendable_dim03_cyber_ai_risk.md,45575,0b397859,2026-05-25T03:49:24,.md,dimension_research,draft_report,INGEST
Kimi_Agent_Defendable Swarm Research Repo.zip,research/defendable_dim04_property_contractor.md,37690,e701b4dc,2026-05-25T03:49:24,.md,dimension_research,draft_report,INGEST
